Id,Date,Open,High,Low,Close Price,Prev Close Price,Volume,Momentum of Close Price,Volatility of Close Price,Day1,Day2,Day3,Day4,Day5
0,2017-03-23,3.93,4.03,3.93,3.97,3.94,216500,-0.06666666666666667,0.004039109124201292,0,0,0,0,0
1,2017-03-22,3.94,3.94,3.82,3.94,3.96,355700,-0.06666666666666667,0.006261879695110608,0,0,0,0,0
2,2017-03-21,4.02,4.02,3.85,3.96,4.0,174000,-0.06666666666666667,0.0060691678393318006,0,0,0,0,0
3,2017-03-20,4.14,4.14,3.95,4.0,4.14,160700,-0.06666666666666667,0.005117554936105992,0,0,0,0,0
4,2017-03-17,4.13,4.15,4.02,4.14,4.1,149300,-0.13333333333333333,0.006080641768758041,0,0,0,0,0
5,2017-03-16,3.98,4.16,3.98,4.1,3.98,135100,-0.2,0.007755063544422339,0,0,0,0,0
6,2017-03-15,3.94,4.01,3.86,3.98,3.92,162200,-0.26666666666666666,0.008326022376914712,0,0,0,0,0
7,2017-03-14,3.93,4.02,3.85,3.92,3.96,191000,-0.26666666666666666,0.009215394519214251,0,0,0,0,0
8,2017-03-13,4.01,4.01,3.92,3.96,4.01,204600,-0.2,0.00846513833417546,0,0,0,0,0
9,2017-03-10,4.0,4.06,3.95,4.01,3.94,213900,-0.26666666666666666,0.00964581936612652,0,0,0,0,0
10,2017-03-09,4.35,4.35,3.92,3.94,4.39,184400,-0.2,0.005577274858645017,0,0,0,0,0
11,2017-03-08,3.95,4.4,3.93,4.39,3.96,218400,-0.26666666666666666,0.008974023367803154,0,0,0,0,0
12,2017-03-07,4.05,4.08,3.87,3.96,4.05,176400,-0.26666666666666666,0.008282064408127657,0,0,0,0,0
13,2017-03-06,4.1,4.12,4.0,4.05,4.12,239800,-0.2,0.007705932720884859,0,0,0,0,0
14,2017-03-03,4.21,4.26,4.05,4.12,4.21,160400,-0.2,0.007501680459009617,0,0,0,0,0
15,2017-03-02,4.21,4.25,4.15,4.21,4.21,391000,-0.26666666666666666,0.007566154991569254,0,0,0,0,0
16,2017-03-01,4.17,4.32,4.12,4.21,4.2,346300,-0.3333333333333333,0.010283684193659026,0,0,0,0,0
17,2017-02-28,4.27,4.3,4.1,4.2,4.3,494200,-0.3333333333333333,0.009847815153138827,0,0,0,0,0
18,2017-02-27,4.27,4.37,4.21,4.3,4.3,376600,-0.4,0.010496782704761242,0,0,0,0,0
19,2017-02-24,4.23,4.34,4.16,4.3,4.21,307000,-0.4666666666666667,0.011888901567810339,0,0,0,0,0
20,2017-02-23,4.29,4.3,4.19,4.21,4.26,203200,-0.4,0.010642678613070252,0,0,0,0,0
21,2017-02-22,4.32,4.33,4.21,4.26,4.31,244600,-0.4,0.010833175872367746,0,0,0,0,0
22,2017-02-21,4.3,4.38,4.22,4.31,4.31,292900,-0.4666666666666667,0.013463250200555282,0,0,0,0,0
23,2017-02-17,4.27,4.34,4.19,4.31,4.26,240400,-0.5333333333333333,0.015969714628679323,0,0,0,0,0
24,2017-02-16,4.25,4.3,4.18,4.26,4.27,260800,-0.4666666666666667,0.014894955160058935,0,0,0,0,0
25,2017-02-15,4.3,4.35,4.21,4.27,4.25,154500,-0.4666666666666667,0.01433202822869632,0,0,0,0,0
26,2017-02-14,4.35,4.36,4.2,4.25,4.38,97700,-0.4666666666666667,0.01425730227532285,0,0,0,0,0
27,2017-02-13,4.2,4.45,4.2,4.38,4.2,170700,-0.4666666666666667,0.015218793670848942,0,0,0,0,0
28,2017-02-10,4.38,4.54,4.2,4.2,4.21,227900,-0.4666666666666667,0.016069661149623396,0,0,0,0,0
29,2017-02-09,3.85,4.25,3.85,4.21,3.8,191300,-0.4666666666666667,0.018863411575063074,0,0,0,0,0
30,2017-02-08,4.2,4.2,3.75,3.8,4.32,215200,-0.4666666666666667,0.015015565660582684,0,0,1,0,0
31,2017-02-07,4.63,4.63,4.3,4.32,4.63,338600,-0.4666666666666667,0.01466949853557345,-1,0,0,0,0
32,2017-02-06,4.65,4.88,4.62,4.63,4.65,311600,-0.4666666666666667,0.014807597501760524,0,-1,0,0,0
33,2017-02-03,4.68,4.76,4.64,4.65,4.68,687300,-0.4,0.01361352275929869,0,0,-1,0,0
34,2017-02-02,4.76,4.85,4.65,4.68,4.77,1239900,-0.4,0.013837050432394086,0,0,0,-1,0
35,2017-02-01,4.9,5.03,4.71,4.77,4.87,1613600,-0.3333333333333333,0.012529624180617609,0,0,0,0,-1
36,2017-01-31,4.83,4.88,4.75,4.87,4.88,633300,-0.3333333333333333,0.013319547009651751,0,0,0,0,-1
37,2017-01-30,5.03,5.04,4.85,4.88,5.06,285700,-0.3333333333333333,0.013624208966347461,0,0,0,0,0
38,2017-01-27,5.01,5.07,4.99,5.06,5.01,285500,-0.3333333333333333,0.013864700841621945,0,0,0,0,0
39,2017-01-26,5.11,5.11,5.0,5.01,5.1,251200,-0.3333333333333333,0.015895131957998816,0,0,0,0,0
40,2017-01-25,5.07,5.2,5.05,5.1,5.06,243100,-0.3333333333333333,0.013843476103587658,0,0,0,0,0
41,2017-01-24,5.08,5.15,5.01,5.06,5.08,190800,-0.26666666666666666,0.01051598478327517,0,0,0,0,0
42,2017-01-23,5.09,5.13,4.96,5.08,5.09,330900,-0.2,0.007701227091904119,0,0,0,0,0
43,2017-01-20,5.15,5.18,5.04,5.09,5.09,331700,-0.2,0.00663113613417271,0,0,0,0,0
44,2017-01-19,5.15,5.15,5.02,5.09,5.17,215100,-0.13333333333333333,0.005388603979404095,0,0,0,0,0
45,2017-01-18,5.12,5.18,5.0,5.17,5.18,234000,-0.06666666666666667,0.004815654870573268,0,0,0,0,0
46,2017-01-17,5.42,5.42,5.05,5.18,5.59,234800,0.0,0.00183306815304679,0,0,0,0,0
47,2017-01-13,5.66,5.76,5.55,5.59,5.65,202100,0.0,0.002866590747742285,0,0,0,0,-1
48,2017-01-12,5.78,5.78,5.5,5.65,5.76,229800,0.06666666666666667,0.0009933605361309966,0,0,0,-1,-1
49,2017-01-11,5.91,5.91,5.66,5.76,5.88,386400,0.06666666666666667,0.0012810073684052154,0,0,-1,-1,-1
50,2017-01-10,5.8,6.03,5.8,5.88,5.73,340500,0.0,0.002524164563943355,0,0,0,-1,-1
51,2017-01-09,5.85,5.89,5.66,5.73,5.83,705100,0.06666666666666667,0.0013323367106176543,0,0,0,0,-1
52,2017-01-06,6.29,6.29,5.82,5.83,6.29,135100,0.06666666666666667,-0.0006197715158749698,0,0,0,0,0
53,2017-01-05,6.6,6.6,6.22,6.29,6.69,294700,0.13333333333333333,-0.0035701031255773027,0,-1,0,-1,-1
54,2017-01-04,6.51,6.74,6.5,6.69,6.49,179800,0.06666666666666667,-0.002232875415747399,0,-1,-1,-1,-1
55,2017-01-03,6.36,6.6,6.3,6.49,6.35,249100,0.06666666666666667,-0.00185108858756619,0,0,-1,-1,-1
56,2016-12-30,6.53,6.55,6.22,6.35,6.53,261400,0.13333333333333333,-0.003818116984996071,0,0,0,-1,-1
57,2016-12-29,6.45,6.62,6.41,6.53,6.45,548300,0.13333333333333333,-0.0052257969192547014,0,0,0,0,-1
